,Des'n,H_x,G,Epoch,M,Peri.,Node,Incl.,e,n,a,propa,da,prope,de,propsini,dsini,g,s,H_y,NumOpps
71,00072,9.11,0.15,K239D,108.8087,103.00771,207.93446,5.41847,0.121318,0.28890519,2.2662048,2.266221,1.3e-07,0.073572,0.00027,0.103208,0.00025,33.893666,-35.556858,9.11,66
72,00073,9.11,0.15,K239D,155.63107,55.95966,6.85202,2.36965,0.042075,0.22652593,2.665165,2.664718,3.6e-07,0.040715,0.00032,0.044818,4e-05,55.802734,-52.983832,9.11,59
73,00074,8.96,0.15,K239D,254.3945,174.76945,197.11993,4.07206,0.2363081,0.21250893,2.7811085,2.779508,7.3e-07,0.19945,2.8e-05,0.074322,8.4e-05,63.717102,-72.583763,8.96,66
74,00075,9.29,0.15,K239D,322.1492,339.53577,359.31762,4.99148,0.3035393,0.22543311,2.6737713,2.672281,3.5e-05,0.269225,9.5e-05,0.084311,8.3e-06,56.595233,-73.814991,9.29,68
75,00076,8.08,0.15,K239D,174.49389,251.98867,204.28814,2.12287,0.1670011,0.15639837,3.4117818,3.399095,3e-05,0.179042,2.5e-05,0.049147,3.1e-06,250.751223,-213.569505,8.08,81
76,00077,8.65,0.15,K239D,285.38323,61.63869,1.13194,2.42285,0.1335128,0.22622679,2.6675139,2.668707,1.8e-07,0.113562,0.00014,0.046517,0.00027,56.221072,-56.340563,8.65,70
77,00078,8.35,0.15,K239D,329.51541,153.12015,333.30824,8.6789,0.2033184,0.23216038,2.6218669,2.621259,0.00015,0.236553,0.00015,0.155576,7.2e-05,49.219787,-62.307518,8.35,79
78,00079,7.78,0.15,K239D,280.79723,201.59325,206.52272,4.61391,0.1908651,0.25794178,2.4441147,2.444312,5e-05,0.176595,0.00011,0.087002,4.2e-05,41.788463,-47.235102,7.78,85
79,00080,8.11,0.15,K239D,190.76451,139.57973,218.64535,8.67715,0.1999009,0.28326449,2.2961908,2.295951,5.5e-05,0.151704,0.00014,0.162359,6.6e-05,32.859643,-38.344471,8.11,76
80,00081,8.72,0.15,K239D,314.70838,51.48631,0.9497,7.8049,0.2119321,0.20462176,2.8521225,2.854068,1.3e-05,0.180523,4.4e-06,0.143122,1e-05,66.745651,-73.757065,8.72,59
81,00082,8.29,0.15,K239D,159.32432,110.90985,25.43297,2.82622,0.2206495,0.21466735,2.7624349,2.762399,7.1e-06,0.249991,2.7e-06,0.04712,1.6e-05,64.605149,-80.193385,8.29,77
82,00083,8.78,0.15,K239D,283.86151,170.06344,27.667,4.96728,0.0825367,0.26001346,2.431115,2.431485,2.9e-08,0.117,1.4e-05,0.079399,2.5e-05,40.350059,-43.564042,8.78,69
83,00084,9.37,0.15,K239D,181.80313,15.06731,327.51488,9.31497,0.2359551,0.27143853,2.3624088,2.362124,2.8e-05,0.192225,0.00046,0.162901,0.00038,35.110246,-43.039539,9.37,60
84,00085,7.98,0.15,K239D,225.87469,122.90617,203.05053,11.96158,0.1936312,0.22800714,2.6536099,2.653681,1.6e-06,0.151562,9.2e-06,0.2186,1.3e-05,43.897494,-53.136095,7.98,71
85,00086,8.75,0.15,K239D,279.81384,309.00844,86.06942,4.82216,0.2163563,0.18023883,3.103872,3.106413,0.00019,0.183349,0.00021,0.063964,0.00083,116.870882,-106.542793,8.75,66
86,00087,6.96,0.15,K239D,334.81925,264.403,73.01222,10.8803,0.0938923,0.15201625,3.4770376,3.485292,2.8e-05,0.054077,2e-05,0.170895,1.9e-06,134.875041,-130.862018,6.96,77
87,00088,7.3,0.15,K239D,30.77021,36.74387,276.42355,5.21348,0.1619242,0.21389101,2.7691153,2.768156,9.1e-07,0.145222,1.6e-05,0.109189,1.2e-05,59.655032,-64.070424,7.3,81
88,00089,6.37,0.15,K239D,164.94239,45.13526,311.54343,16.12373,0.1843294,0.24193772,2.5507447,2.551595,9.7e-07,0.124747,6.9e-05,0.287349,9.3e-05,35.360812,-43.91533,6.37,71
89,00090,8.47,0.15,K239D,66.99108,245.23899,69.92573,2.20732,0.1689474,0.17606642,3.1527173,3.146194,6.4e-07,0.153843,7.1e-07,0.02312,6.8e-07,140.79073,-105.337325,8.47,86
90,00091,9.16,0.15,K239D,185.03283,74.36823,10.43068,2.10299,0.1073194,0.23653589,2.5894331,2.589951,2.4e-07,0.090557,0.0012,0.041522,0.0004,52.680376,-49.620929,9.16,76
91,00092,6.8,0.15,K239D,98.99623,237.04656,101.39558,9.92278,0.1052973,0.17339873,3.1849708,3.194505,9.5e-05,0.072095,2.8e-05,0.151396,3.8e-06,174.720312,-84.671284,6.8,83
92,00093,7.94,0.15,K239D,100.85173,275.67886,4.00934,8.54938,0.1399865,0.21509149,2.7588022,2.754665,1.1e-06,0.142413,0.00012,0.15445,2.7e-05,55.047852,-61.206336,7.94,72
93,00094,7.74,0.15,K239D,230.11843,60.27575,2.54616,7.97084,0.0954865,0.17584867,3.1553194,3.157895,7.1e-07,0.073707,1e-07,0.143235,4.4e-07,126.281376,-84.045693,7.74,73
